interest,ad_count
Research,47
Music,44
Arts and music,43
Science,38
Photography,38
Family and relationships,34
National park,29
Cooking,28
Restaurants,27
PBS,27
Desserts,24
Nature,24
Pizza,24
Fitness and wellness,23
Concerts,22
Friendship,22
Biology,21
Reptiles,21
Barbecue,21
Anthropology,20
Art film,20
Petroleum,20
Energy,19
Military history,19
Global warming,19
Social media,18
Cake,18
Chocolate,18
Climate change,17
Whole Foods Market,16
Technology,15
Environmentalism,14
Opera,14
Tablet computers,14
Cuisine,13
Smartphones,13
Birds,11
Plastic,11
Guitar,10
Sustainability,10
New York City,10
Vegetable,10
Parenting,10
Musical theatre,9
Archaeology,9
Language,9
Dance music,9
Indian cuisine,9
Literature,9
Social media marketing,9
